Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,12.7,180.0,top
D10,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-15.31,180.0,top
D11,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-15.31,180.0,top
D12,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-15.31,180.0,top
D13,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-15.31,180.0,top
D14,LED,LED-SMD_4P-L5.0-W5.0-TL-2,470.21,-15.31,180.0,top
D15,LED,LED-SMD_4P-L5.0-W5.0-TL-2,498.21,-15.31,180.0,top
D16,LED,LED-SMD_4P-L5.0-W5.0-TL-2,526.21,-15.31,180.0,top
D17,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,-43.31,180.0,top
D18,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-43.31,180.0,top
D19,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-43.31,180.0,top
D2,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,12.7,180.0,top
D20,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-43.31,180.0,top
D21,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-43.31,180.0,top
D22,LED,LED-SMD_4P-L5.0-W5.0-TL-2,470.21,-43.31,180.0,top
D23,LED,LED-SMD_4P-L5.0-W5.0-TL-2,498.21,-43.31,180.0,top
D24,LED,LED-SMD_4P-L5.0-W5.0-TL-2,526.21,-43.31,180.0,top
D25,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,-71.31,180.0,top
D26,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-71.31,180.0,top
D27,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-71.31,180.0,top
D28,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-71.31,180.0,top
D29,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-71.31,180.0,top
D3,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,12.7,180.0,top
D30,LED,LED-SMD_4P-L5.0-W5.0-TL-2,470.21,-71.31,180.0,top
D31,LED,LED-SMD_4P-L5.0-W5.0-TL-2,498.21,-71.31,180.0,top
D32,LED,LED-SMD_4P-L5.0-W5.0-TL-2,526.21,-71.31,180.0,top
D33,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,-99.31,180.0,top
D34,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-99.31,180.0,top
D35,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-99.31,180.0,top
D36,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-99.31,180.0,top
D37,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-99.31,180.0,top
D38,LED,LED-SMD_4P-L5.0-W5.0-TL-2,470.21,-99.31,180.0,top
D39,LED,LED-SMD_4P-L5.0-W5.0-TL-2,498.21,-99.31,180.0,top
D4,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,12.7,180.0,top
D40,LED,LED-SMD_4P-L5.0-W5.0-TL-2,526.21,-99.31,180.0,top
D41,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,-127.31,180.0,top
D42,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-127.31,180.0,top
D43,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-127.31,180.0,top
D44,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-127.31,180.0,top
D45,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-127.31,180.0,top
D46,LED,LED-SMD_4P-L5.0-W5.0-TL-2,470.21,-127.31,180.0,top
D47,LED,LED-SMD_4P-L5.0-W5.0-TL-2,498.21,-127.31,180.0,top
D48,LED,LED-SMD_4P-L5.0-W5.0-TL-2,526.21,-127.31,180.0,top
D49,LED,LED-SMD_4P-L5.0-W5.0-TL-2,330.2,-155.31,180.0,top
D5,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,12.7,180.0,top
D50,LED,LED-SMD_4P-L5.0-W5.0-TL-2,358.21,-155.31,180.0,top
D51,LED,LED-SMD_4P-L5.0-W5.0-TL-2,386.21,-155.31,180.0,top
D52,LED,LED-SMD_4P-L5.0-W5.0-TL-2,414.21,-155.31,180.0,top
D53,LED,LED-SMD_4P-L5.0-W5.0-TL-2,442.21,-155.31,180.0,top
